id,name,rating,release_date,duration,description
56,Gone with the Wind,"8.1/10                    
                    290,841
                        
                                901 user
                                200 critic
                        
            

  Rate This123456789100",8 July 2020 (India),3h 58min,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
57,One Flew Over the Cuckoo's Nest,"8.7/10                    
                    920,608
                        
                                1,035 user
                                178 critic
                        
            

  Rate This123456789100",26 February 1976 (UK),2h 13min,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
58,Star Wars: Episode IV - A New Hope,"8.6/10                    
                    1,234,738
                        
                                1,911 user
                                197 critic
                        
            

  Rate This123456789100",29 January 1978 (UK),2h 1min,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
59,"Lock, Stock and Two Smoking Barrels","8.2/10                    
                    536,519
                        
                                599 user
                                116 critic
                        
            

  Rate This123456789100",28 August 1998 (UK),1h 47min,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
60,Come and See,"8.3/10                    
                    59,633
                        
                                543 user
                                122 critic
                        
            

  Rate This123456789100",17 October 1985 (Hungary),2h 22min,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
61,Catch Me If You Can,"8.1/10                    
                    836,766
                        
                                880 user
                                207 critic
                        
            

  Rate This123456789100",31 January 2003 (UK),2h 21min,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
62,Back to the Future,"8.5/10                    
                    1,061,564
                        
                                1,259 user
                                255 critic
                        
            

  Rate This123456789100",4 December 1985 (UK),1h 56min,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
63,Cinema Paradiso,"8.5/10                    
                    231,685
                        
                                534 user
                                130 critic
                        
            

  Rate This123456789100",23 February 1990 (UK),2h 35min,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
64,The Big Lebowski,"8.1/10                    
                    734,539
                        
                                1,301 user
                                197 critic
                        
            

  Rate This123456789100",24 April 1998 (UK),1h 57min,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
65,Goodfellas,"8.7/10                    
                    1,024,528
                        
                                1,395 user
                                159 critic
                        
            

  Rate This123456789100",26 October 1990 (UK),2h 26min,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
66,Double Indemnity,"8.3/10                    
                    144,049
                        
                                413 user
                                152 critic
                        
            

  Rate This123456789100",15 September 1944 (UK),1h 47min,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
67,Drishyam,"8.2/10                    
                    70,788
                        
                                257 user
                                39 critic
                        
            

  Rate This123456789100",31 July 2015 (UK),2h 43min,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
68,The Prestige,"8.5/10                    
                    1,194,135
                        
                                1,502 user
                                364 critic
                        
            

  Rate This123456789100",10 November 2006 (UK),2h 10min,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
69,Toy Story 3,"8.2/10                    
                    759,103
                        
                                911 user
                                478 critic
                        
            

  Rate This123456789100",19 July 2010 (UK),1h 43min,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
70,Inglourious Basterds,"8.3/10                    
                    1,272,612
                        
                                1,936 user
                                400 critic
                        
            

  Rate This123456789100",19 August 2009 (UK),2h 33min,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
71,Witness for the Prosecution,"8.4/10                    
                    109,402
                        
                                278 user
                                104 critic
                        
            

  Rate This123456789100",6 February 1958 (USA),1h 56min,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
72,Barry Lyndon,"8.1/10                    
                    150,467
                        
                                478 user
                                110 critic
                        
            

  Rate This123456789100",18 December 1975 (UK),3h 5min,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
73,The Kid,"8.3/10                    
                    113,895
                        
                                203 user
                                109 critic
                        
            

  Rate This123456789100",March 1921 (UK),1h 8min,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
74,The Lion King,"8.5/10                    
                    945,120
                        
                                1,061 user
                                230 critic
                        
            

  Rate This123456789100",7 October 1994 (UK),1h 28min,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
75,Ran,"8.2/10                    
                    112,942
                        
                                297 user
                                163 critic
                        
            

  Rate This123456789100",7 March 1986 (UK),2h 42min,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
76,Portrait of a Lady on Fire,"8.1/10                    
                    64,417
                        
                                378 user
                                273 critic
                        
            

  Rate This123456789100",28 February 2020 (UK),2h 2min,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
77,Stalker,"8.2/10                    
                    117,556
                        
                                446 user
                                162 critic
                        
            

  Rate This123456789100",17 April 1980 (Netherlands),2h 42min,A guide leads two men through an area known as the Zone to find a room that grants wishes.
78,To Be or Not to Be,"8.2/10                    
                    30,186
                        
                                142 user
                                79 critic
                        
            

  Rate This123456789100",6 March 1942 (USA),1h 39min,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
79,The Matrix,"8.7/10                    
                    1,681,798
                        
                                4,409 user
                                341 critic
                        
            

  Rate This123456789100",11 June 1999 (UK),2h 16min,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
80,No Country for Old Men,"8.1/10                    
                    859,875
                        
                                1,914 user
                                524 critic
                        
            

  Rate This123456789100",18 January 2008 (UK),2h 2min,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"8.4/10                    
                    451,735
                        
                                969 user
                                229 critic
                        
            

  Rate This123456789100",29 January 1964 (UK),1h 35min,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
82,Shutter Island,"8.2/10                    
                    1,134,725
                        
                                1,360 user
                                525 critic
                        
            

  Rate This123456789100",12 March 2010 (UK),2h 18min,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
83,Batman Begins,"8.2/10                    
                    1,311,649
                        
                                2,948 user
                                328 critic
                        
            

  Rate This123456789100",16 June 2005 (UK),2h 20min,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
84,The Usual Suspects,"8.5/10                    
                    993,933
                        
                                1,399 user
                                148 critic
                        
            

  Rate This123456789100",25 August 1995 (UK),1h 46min,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
85,Three Colours: Red,"8.1/10                    
                    91,221
                        
                                176 user
                                71 critic
                        
            

  Rate This123456789100",11 November 1994 (UK),1h 39min,A model discovers a retired judge is keen on invading people's privacy.
86,Sunset Blvd.,"8.4/10                    
                    202,290
                        
                                646 user
                                180 critic
                        
            

  Rate This123456789100",29 September 1950 (Australia),1h 50min,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
87,Before Sunset,"8.1/10                    
                    237,175
                        
                                565 user
                                232 critic
                        
            

  Rate This123456789100",23 July 2004 (UK),1h 20min,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
88,Casablanca,"8.5/10                    
                    523,531
                        
                                1,358 user
                                202 critic
                        
            

  Rate This123456789100",23 January 1943 (USA),1h 42min,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
89,Mary and Max,"8.1/10                    
                    164,835
                        
                                244 user
                                181 critic
                        
            

  Rate This123456789100",9 April 2009 (Australia),1h 32min,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
90,Tangerines,"8.2/10                    
                    40,759
                        
                                97 user
                                121 critic
                        
            

  Rate This123456789100",18 September 2015 (UK),1h 27min,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
