id,name,rating,release_date,duration,description
214,"Paris, Texas","8.1/10                    
                    91,731
                        
                                250 user
                                103 critic
                        
            

  Rate This123456789100",23 August 1984 (UK),2h 25min,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
215,Green Book,"8.2/10                    
                    382,360
                        
                                1,568 user
                                404 critic
                        
            

  Rate This123456789100",30 January 2019 (UK),2h 10min,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
216,WALL·E,"8.4/10                    
                    1,002,771
                        
                                1,333 user
                                270 critic
                        
            

  Rate This123456789100",18 July 2008 (UK),1h 38min,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
217,The Great Escape,"8.2/10                    
                    225,328
                        
                                376 user
                                114 critic
                        
            

  Rate This123456789100",8 September 1963 (UK),2h 52min,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
218,Rang De Basanti,"8.2/10                    
                    112,210
                        
                                377 user
                                42 critic
                        
            

  Rate This123456789100",26 January 2006 (UK),2h 47min,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
219,It Happened One Night,"8.1/10                    
                    94,377
                        
                                312 user
                                127 critic
                        
            

  Rate This123456789100",22 February 1934 (USA),1h 45min,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops."
220,L.A. Confidential,"8.2/10                    
                    533,396
                        
                                736 user
                                135 critic
                        
            

  Rate This123456789100",31 October 1997 (UK),2h 18min,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
221,Million Dollar Baby,"8.1/10                    
                    637,584
                        
                                1,254 user
                                267 critic
                        
            

  Rate This123456789100",14 January 2005 (UK),2h 12min,A determined woman works with a hardened boxing trainer to become a professional.
222,Toy Story,"8.3/10                    
                    890,132
                        
                                646 user
                                165 critic
                        
            

  Rate This123456789100",22 March 1996 (UK),1h 21min,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
223,Once Upon a Time in the West,"8.5/10                    
                    303,725
                        
                                741 user
                                151 critic
                        
            

  Rate This123456789100",31 August 1969 (UK),2h 45min,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
224,"Monsters, Inc.","8.1/10                    
                    817,895
                        
                                708 user
                                264 critic
                        
            

  Rate This123456789100",8 February 2002 (UK),1h 32min,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
225,Harry Potter and the Deathly Hallows: Part 2,"8.1/10                    
                    767,034
                        
                                992 user
                                486 critic
                        
            

  Rate This123456789100",15 July 2011 (UK),2h 10min,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
226,Incendies,"8.3/10                    
                    150,882
                        
                                261 user
                                243 critic
                        
            

  Rate This123456789100",24 June 2011 (UK),2h 11min,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
227,Anand,"8.4/10                    
                    30,442
                        
                                130 user
                                11 critic
                        
            

  Rate This123456789100",12 March 1971 (India),2h 2min,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
228,The Sting,"8.3/10                    
                    242,167
                        
                                324 user
                                130 critic
                        
            

  Rate This123456789100",26 December 1973 (UK),2h 9min,Two grifters team up to pull off the ultimate con.
229,Interstellar,"8.6/10                    
                    1,519,113
                        
                                4,372 user
                                630 critic
                        
            

  Rate This123456789100",7 November 2014 (UK),2h 49min,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
230,Rashomon,"8.2/10                    
                    153,167
                        
                                355 user
                                145 critic
                        
            

  Rate This123456789100",26 August 1950 (Japan),1h 28min,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
231,Hotel Rwanda,"8.1/10                    
                    334,988
                        
                                683 user
                                153 critic
                        
            

  Rate This123456789100",4 March 2005 (UK),2h 1min,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
232,Stand by Me,"8.1/10                    
                    364,315
                        
                                716 user
                                136 critic
                        
            

  Rate This123456789100",13 March 1987 (UK),1h 29min,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
233,A Beautiful Mind,"8.2/10                    
                    851,582
                        
                                1,336 user
                                154 critic
                        
            

  Rate This123456789100",22 February 2002 (UK),2h 15min,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
234,The Apartment,"8.3/10                    
                    164,977
                        
                                355 user
                                242 critic
                        
            

  Rate This123456789100",29 June 1960 (Canada),2h 5min,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
235,A Silent Voice,"8.1/10                    
                    48,733
                        
                                238 user
                                89 critic
                        
            

  Rate This123456789100",5 June 2019 (India),2h 10min,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
236,Persona,"8.1/10                    
                    103,767
                        
                                241 user
                                144 critic
                        
            

  Rate This123456789100",21 September 1967 (UK),1h 25min,A nurse is put in charge of a mute actress and finds that their personae are melding together.
