web-scraper-order,web-scraper-start-url,name,name-href,rating,release_date,duration,description
"1613480107-1225","https://www.imdb.com/chart/top?ref_=nv_mv_250","The Green Mile","https://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27","8.6/10                    
                    1,151,883
                        
                                1,842 user
                                207 critic
                        
            

  Rate This123456789100","3 March 2000 (UK)","3h 9min","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
"1613479770-1123","https://www.imdb.com/chart/top?ref_=nv_mv_250","Yojimbo","https://www.imdb.com/title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_129","8.2/10                    
                    111,721
                        
                                214 user
                                131 critic
                        
            

  Rate This123456789100","25 April 1961 (Japan)","1h 50min","A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town."
"1613480129-1232","https://www.imdb.com/chart/top?ref_=nv_mv_250","Seven","https://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20","8.6/10                    
                    1,450,355
                        
                                1,566 user
                                226 critic
                        
            

  Rate This123456789100","5 January 1996 (UK)","2h 7min","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
"1613479898-1163","https://www.imdb.com/chart/top?ref_=nv_mv_250","Reservoir Dogs","https://www.imdb.com/title/tt0105236/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_89","8.3/10                    
                    921,330
                        
                                1,195 user
                                194 critic
                        
            

  Rate This123456789100","15 January 1993 (UK)","1h 39min","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
"1613480008-1194","https://www.imdb.com/chart/top?ref_=nv_mv_250","Django Unchained","https://www.imdb.com/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58","8.4/10                    
                    1,362,756
                        
                                1,619 user
                                653 critic
                        
            

  Rate This123456789100","18 January 2013 (UK)","2h 45min","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
"1613479763-1121","https://www.imdb.com/chart/top?ref_=nv_mv_250","Downfall","https://www.imdb.com/title/tt0363163/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_131","8.2/10                    
                    332,134
                        
                                647 user
                                112 critic
                        
            

  Rate This123456789100","1 April 2005 (UK)","2h 36min","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
"1613480056-1209","https://www.imdb.com/chart/top?ref_=nv_mv_250","City Lights","https://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_43","8.5/10                    
                    168,456
                        
                                301 user
                                125 critic
                        
            

  Rate This123456789100","7 March 1931 (USA)","1h 27min","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
"1613479471-1031","https://www.imdb.com/chart/top?ref_=nv_mv_250","The Wages of Fear","https://www.imdb.com/title/tt0046268/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_221","8.1/10                    
                    54,793
                        
                                171 user
                                142 critic
                        
            

  Rate This123456789100","23 September 1955 (India)","2h 11min","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
"1613479757-1119","https://www.imdb.com/chart/top?ref_=nv_mv_250","Unforgiven","https://www.imdb.com/title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_133","8.2/10                    
                    376,965
                        
                                616 user
                                130 critic
                        
            

  Rate This123456789100","18 September 1992 (UK)","2h 10min","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
"1613479641-1083","https://www.imdb.com/chart/top?ref_=nv_mv_250","Finding Nemo","https://www.imdb.com/title/tt0266543/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_169","8.1/10                    
                    951,969
                        
                                999 user
                                149 critic
                        
            

  Rate This123456789100","10 October 2003 (UK)","1h 40min","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
